Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,delta_temp,power_kw,wear_torque
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7.0333821989528795,5744.7
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6.967748691099477,5820.0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7.321465968586388,5937.5
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7.655486910994766,6284.8
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4.978994764397906,3354.0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6.874701570680628,6157.9
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8.042670157068063,7276.5
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6.520335078534032,6174.0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1.3780732984293191,657.8
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7.950439790575916,7960.5
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6.865821989528795,6438.599999999999
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5.751989528795812,5335.2
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5.329748691099477,4635.400000000001
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6.443811518324607,6349.200000000001
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6.557570680628272,6699.2
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6.384701570680628,6448.0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5.130837696335078,4779.0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7.849549738219895,8976.0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7.6724397905759165,8784.2
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6.368,6455.8
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4.385769633507853,3938.7999999999997
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4.914219895287958,4506.599999999999
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6.155790575916231,6832.2
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6.583183246073299,8072.900000000001
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5.04579057591623,5194.7
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6.7696963350785335,8114.400000000001
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5.180607329842932,6123.599999999999
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9.70020942408377,12548.7
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4.553130890052357,4361.8
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6.917905759162304,8918.0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6.364774869109947,8791.199999999999
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5.83455497382199,7000.0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5.414900523560209,6524.599999999999
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6.7433821989528795,9526.800000000001
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7.327947643979057,9867.4
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6.292303664921465,8590.4
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7.538952879581152,0.0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5.563958115183246,75.8
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7.550314136125654,199.6
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7.212041884816754,427.5
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6.20758115183246,448.79999999999995
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6.168261780104713,521.3000000000001
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7.087664921465969,714.0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5.062534031413613,455.6
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6.601089005235602,878.0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5.141277486910996,795.0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6.7161047120418855,1220.4
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6.150418848167539,1185.0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4.735853403141362,851.4
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4.771413612565445,871.5
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4.900701570680629,1002.7
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6.528795811518324,1720.0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5.417989528795811,1339.8
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7.3845235602094235,2296.8
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5.8217277486910985,1659.1
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5.479057591623037,1495.0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5.235424083769634,1733.1000000000001
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7.08075392670157,2442.0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4.848167539267016,1425.0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4.315570680628272,1221.3
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6.610785340314136,2476.6
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6.111047120418848,2551.5
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6.5895287958115185,2864.4
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5.181162303664922,2114.8
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7.3384816753926705,3395.0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7.336083769633507,3369.6
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5.550439790575917,2452.5
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5.61310994764398,2728.0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4.4104712041884815,1845.0
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6.827905759162304,3654.0
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6.1959162303664925,3515.5
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6.5197277486911,3854.7999999999997
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5.171937172774869,2793.0
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6.847821989528796,4432.900000000001
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5.584544502617801,3375.9
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5.525340314136126,3333.0
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5.02269109947644,2894.3
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6.252031413612565,4314.200000000001
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6.707340314136126,4827.6
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6.721424083769634,4532.0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6.9546596858638745,5678.400000000001
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7.025801047120418,4947.599999999999
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5.316628272251308,3410.3999999999996
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5.259895287958116,3799.6000000000004
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8.419319371727749,7260.0
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6.880052356020943,5673.0
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6.414471204188482,4786.400000000001
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5.599340314136126,4321.799999999999
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6.339298429319372,5260.8
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5.03820942408377,3601.0
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6.518450261780105,5702.400000000001
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7.427015706806283,6696.0
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7.597591623036649,7314.0
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5.106125654450262,3990.0
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6.795183246073299,6535.1
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7.510376963350785,8184.4
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7.495350785340313,7410.0
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7.408837696335078,8649.0
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5.711738219895288,5667.7
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5.690973821989529,5596.8
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5.250219895287958,4540.2
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7.4401570680628275,8282.0
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6.175748691099477,7165.599999999999
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5.3232251308900524,5779.2
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6.093528795811519,6281.400000000001
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6.361413612565445,7177.900000000001
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6.93109947643979,8688.0
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6.15420942408377,7341.599999999999
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6.358052356020942,7942.200000000001
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5.760083769633508,7068.8
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6.800418848167539,7831.0
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5.230366492146596,5238.0
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5.792000000000001,7095.200000000001
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4.119643979057591,3920.4
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7.201047120418848,9338.0
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6.732251308900524,8961.0
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6.278534031413613,8440.0
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7.239476439790576,10058.0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8.148418848167541,13111.2
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7.732732984293193,11401.4
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5.895602094240838,0.0
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6.732816753926701,87.6
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6.574240837696335,218.0
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4.7181151832460735,208.0
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5.502743455497383,326.0
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6.549549738219895,643.5
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9.348261780104712,1246.0
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8.15641884816754,1300.2
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5.900523560209424,840.0
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7.776921465968585,1371.6
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4.190492146596859,603.2
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5.614314136125655,1078.4
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7.972753926701571,2040.5
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6.294973821989529,1609.5
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5.879015706806284,1353.3000000000002
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4.454785340314136,877.4
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7.548397905759162,2158.6
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6.799916230366492,2241.0
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7.707068062827225,2345.2999999999997
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4.622073298429319,1185.8
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6.759183246073299,2597.4
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6.328743455497383,2319.9
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5.34138219895288,1805.4
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5.784000000000001,2330.2000000000003
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7.628900523560209,3528.0
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6.223549738219895,2801.5
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5.650429319371728,2251.2000000000003
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6.993989528795811,2994.6
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7.7175183246073304,3592.7999999999997
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6.035979057591623,2560.4
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7.5828691099476435,3936.7999999999997
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6.079455497382199,2802.6
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,3.00048167539267,920.1999999999999
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,6.527089005235601,3818.1
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,7.422408376963351,4504.5
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,6.53971727748691,3926.3999999999996
L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,5.819895287958115,3465.0
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,7.067465968586387,4757.1
L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,5.896858638743455,3605.0
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,6.79476439790576,4326.0
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,6.1157277486911,3819.9
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,5.913193717277487,4169.0
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,5.979560209424084,3673.5999999999995
M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,7.458848167539267,6042.0
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,5.9474031413612565,4130.099999999999
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,9.031905759162303,7223.3
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,6.114104712041885,4477.400000000001
L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,6.805026178010471,5456.0
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,5.757099476439791,4548.6
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,5.590837696335078,4339.2
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,7.4447748691099465,6877.0
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,6.516376963350785,6061.5
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,6.172973821989529,5082.7
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,6.5323979057591615,5642.0
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,6.0116963350785335,5438.599999999999
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,5.506010471204188,4550.400000000001
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,5.7728481675392675,5562.6
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,6.937256544502618,6837.6
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,7.813947643979057,7957.700000000001
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,4.6488062827225125,3717.9
L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,6.144502617801047,7110.0
L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,5.651685863874345,5504.0
L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,4.859811518324608,4746.6
L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,7.672837696335078,8823.199999999999
L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,6.8467853403141365,8167.200000000001
L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,5.817581151832461,6064.8
M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,6.328366492146597,6307.0
L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,5.185717277486912,5570.6
L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,5.721047120418848,6089.999999999999
L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,6.354429319371728,7628.7
L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,7.097633507853404,8520.4
L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,5.525528795811518,6316.9
L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,6.639392670157068,7850.7
M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,5.928376963350786,6234.500000000001
L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,6.058272251308901,7275.6
M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,5.947979057591623,6954.0
L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.200000000000045,7.336952879581151,9707.9
L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,10.199999999999989,5.161947643979058,5967.0
M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,10.100000000000023,7.234806282722514,10165.2
L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,10.100000000000023,4.521581151832461,4860.0
L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,10.199999999999989,8.2997277486911,11877.599999999999
L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,10.199999999999989,6.658869109947644,8996.4
M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,10.199999999999989,7.172198952879581,10114.6
M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,10.200000000000045,5.349507853403141,6562.599999999999
L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,10.200000000000045,5.559947643979058,7102.0
L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,10.199999999999989,6.998900523560209,9737.0
L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,10.300000000000011,8.100691099476439,12268.8
L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,10.300000000000011,8.268167539267015,12251.6
L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,10.300000000000011,5.6908272251308905,0.0
M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,10.199999999999989,6.5394345549738215,85.2
L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,10.199999999999989,6.072879581151832,179.0
L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,10.199999999999989,6.848942408376963,337.40000000000003
L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,10.199999999999989,6.008439790575916,341.09999999999997
L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,10.199999999999989,6.299015706806283,444.4
L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,10.199999999999989,8.780418848167539,819.0
L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,10.0,4.988743455497382,442.5
L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,10.099999999999966,5.88144502617801,644.3
M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,10.099999999999966,9.501361256544502,1214.1
M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,10.100000000000023,7.825151832460732,1080.2
L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,10.099999999999966,5.55951832460733,802.5
M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,10.099999999999966,4.871706806282723,723.6
M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,10.100000000000023,5.367549738219895,968.9999999999999
L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,10.099999999999966,6.9136125654450264,1567.5
